,similarity,sentence1,sentence2
62,entailment,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,The man stumbles stumbles in rollerskates.
63,contradiction,A group of onlookers glance at a person doing a strange trick on her head.,A boy does a card trick.
64,neutral,A group of onlookers glance at a person doing a strange trick on her head.,Onlookers are impressed by the trick.
65,entailment,A group of onlookers glance at a person doing a strange trick on her head.,People watch another person do a trick.
66,contradiction,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.,Only one woman is wearing a head scarf.
67,neutral,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf.,These two women are friends.
68,contradiction,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",A man is chasing an SUV that is going in the same direction as him.
69,entailment,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",An SUV and a man are going in opposite directions.
70,neutral,"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",A taxi SUV races to pick up some clients while a man walks peacefully in the other direction.
71,contradiction,People wearing red shirts are standing in a large pool of water as it splashes over and around them.,Nobody has a shirt on
72,entailment,People wearing red shirts are standing in a large pool of water as it splashes over and around them.,A person in a shirt
73,neutral,People wearing red shirts are standing in a large pool of water as it splashes over and around them.,A tall person in a shirt
74,contradiction,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,A man is wearing a black shirt
75,entailment,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,A man is wearing a white shirt
76,neutral,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background.,A man is taking photos while on tour in nyc
77,neutral,A shirtless man is singing into a microphone while a woman next to him plays an accordion.,He is Polish.
78,contradiction,A shirtless man is singing into a microphone while a woman next to him plays an accordion.,He is playing a saxophone.
79,entailment,A shirtless man is singing into a microphone while a woman next to him plays an accordion.,A man is singing into a microphone.
80,neutral,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,It is very sunny outside.
81,entailment,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,The woman and kids and sitting down.
82,contradiction,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade.,The woman is running.
83,contradiction,A pregnant lady singing on stage while holding a flag behind her.,A woman is sick in bed.
84,entailment,A pregnant lady singing on stage while holding a flag behind her.,A woman is making music.
85,neutral,A pregnant lady singing on stage while holding a flag behind her.,A lady is participating in a talent show.
86,entailment,The two farmers are working on a piece of John Deere equipment.,Men are working on John Deere equipment
87,entailment,The two farmers are working on a piece of John Deere equipment.,John Deere equipment is being worked on by two farmers
88,contradiction,The two farmers are working on a piece of John Deere equipment.,2 Men are making a pool together
89,neutral,A little boy in a blue shirt holding a toy.,Boy dressed in blue carrying toy to a toybox.
90,contradiction,A little boy in a blue shirt holding a toy.,Boy dressed in red lighting things on fire.
91,entailment,A little boy in a blue shirt holding a toy.,Boy dressed in blue holds a toy.
92,neutral,A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.,The woman is writing a grocery list.
93,contradiction,A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.,The woman is talking on the phone.
94,entailment,A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.,The woman is writing a note.
95,entailment,A baby at the end of a slip and slide at a party,The baby is wet.
96,contradiction,A baby at the end of a slip and slide at a party,The man is at the end of the slip and slide
97,entailment,A baby at the end of a slip and slide at a party,There is a party
98,neutral,A girl swings high in the air.,A girl is gaining momentum to flip off the swing
99,contradiction,A girl swings high in the air.,A girl is laying in the pool
100,entailment,A girl swings high in the air.,A girl is on a swing
101,neutral,A view of the back of a woman having a beverage.,woman drinks a beer
102,contradiction,A view of the back of a woman having a beverage.,woman dumps the drink on a man
103,entailment,A view of the back of a woman having a beverage.,woman has a drink
104,entailment,A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving.,A person sitting
105,neutral,A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving.,A tall person sitting
106,contradiction,A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving.,Nobody is sitting
107,neutral,A man with a shopping cart is studying the shelves in a supermarket aisle.,The man is trying to pick out what cereal to choose.
108,contradiction,A man with a shopping cart is studying the shelves in a supermarket aisle.,A man is watching a movie in a theater.
109,entailment,A man with a shopping cart is studying the shelves in a supermarket aisle.,There is a man inside a supermarket.
110,entailment,"A man wearing sunglasses is sitting on the steps outside, reading a magazine.",The man is sitting.
111,neutral,"A man wearing sunglasses is sitting on the steps outside, reading a magazine.",The man is reading tips on how to be a better boy friend.
112,contradiction,"A man wearing sunglasses is sitting on the steps outside, reading a magazine.","The man is reading a spoon with the words ""HELP ME"" on it."
113,contradiction,"A woman sitting outside weaving a long piece of red, white, and blue cloth.",He is jumping over a house
114,entailment,"A woman sitting outside weaving a long piece of red, white, and blue cloth.",She is working with cloth
115,neutral,"A woman sitting outside weaving a long piece of red, white, and blue cloth.",She is weaving an american flag
116,entailment,A person powerwashing stairs leading down to a pool.,a person washes stairs
117,entailment,A person powerwashing stairs leading down to a pool.,a worker cleans near the pool
118,contradiction,A person powerwashing stairs leading down to a pool.,a dog chases a cat
119,contradiction,A person rides his bicycle in the sand beside the ocean.,A person is falling off his bike.
120,contradiction,A person rides his bicycle in the sand beside the ocean.,A person is on a boat.
121,entailment,A person rides his bicycle in the sand beside the ocean.,A person is on a beach.
122,entailment,"Two black little boys hanging over an upside down bicycle, one examining the pedal.",Children were looking at a bike.
123,neutral,"Two black little boys hanging over an upside down bicycle, one examining the pedal.",the children are outside.
124,contradiction,"Two black little boys hanging over an upside down bicycle, one examining the pedal.",Someone is riding a bike.
125,neutral,A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background.,The dogs are out to catch fish.
126,contradiction,A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background.,The pets are sleeping on the grass.
127,entailment,A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background.,The dogs are swimming among the boats.
128,entailment,A group of people prepare hot air balloons for takeoff.,A group of people are outside.
129,contradiction,A group of people prepare hot air balloons for takeoff.,A group of people prepare cars for racing.
130,neutral,A group of people prepare hot air balloons for takeoff.,There are hot air balloons on the ground and air.
131,entailment,Men stand on steps leading out of a body of water,Men are standing on some steps near some water.
132,contradiction,Men stand on steps leading out of a body of water,Men are sitting outside near a golf course.
133,neutral,Men stand on steps leading out of a body of water,Men are standing by a docked boat.
134,neutral,A group of young people with instruments are on stage.,People are performing as a band for a crowd.
135,contradiction,A group of young people with instruments are on stage.,Young people are playing water polo.
136,neutral,A group of young people with instruments are on stage.,People are playing music.
137,entailment,A long-beaked bird in mid-flight.,A bird flying.
138,contradiction,A long-beaked bird in mid-flight.,A rat running on a wheel.
139,neutral,A long-beaked bird in mid-flight.,A bird chasing an insect.
140,neutral,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The boy is outside and running from cops.
141,neutral,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The young boy is completing a heist.
142,neutral,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The bank has just been robbed.
143,neutral,A man in the middle east with a corn-on-the-cob cart selling corn.,An old middle eastern man is selling corn-on-the-cob from his brother's cart.
144,entailment,A man in the middle east with a corn-on-the-cob cart selling corn.,"In the middle east, a man sells corn-on-the-cob from a cart."
145,contradiction,A man in the middle east with a corn-on-the-cob cart selling corn.,A middle east man is throwing corn at strangers.
146,entailment,A man in a black shirt is playing a guitar.,He is playing a song.
147,contradiction,A man in a black shirt is playing a guitar.,The man is wearing a blue shirt.
148,entailment,A man in a black shirt is playing a guitar.,The man is wearing black.
149,contradiction,"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.",A group of people in a motorcade driving past an audience.
150,entailment,"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.",A group of people walking down a road.
151,neutral,"Colorfully dressed people walk down the center of the road, with onlookers behind a barricade.",A group of people walking past a group of civilian spectators.
152,contradiction,A woman is talking on the phone while standing next to a dog.,A woman is sleeping.
153,neutral,A woman is talking on the phone while standing next to a dog.,A woman is walking her dog.
154,entailment,A woman is talking on the phone while standing next to a dog.,A woman is on the phone.
155,neutral,Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling.,The boys are all wearing yellow.
156,neutral,Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling.,The boy is crouching down to take a picture.
157,entailment,Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling.,The young boy has a camera.
158,contradiction,5 women sitting around a table doing some crafts.,Five men stand on chairs.
159,entailment,5 women sitting around a table doing some crafts.,Five women sit at a table.
160,neutral,5 women sitting around a table doing some crafts.,Five friends sit at a table.
161,neutral,Street performer with bowler hat and high boots performs outside.,The man is performing a magic act.
162,entailment,Street performer with bowler hat and high boots performs outside.,The person is performing.
163,contradiction,Street performer with bowler hat and high boots performs outside.,The child is dancing inside.
164,neutral,A young boy playing in the grass.,The boy is playing make believe.
165,entailment,A young boy playing in the grass.,There is a child in the grass.
166,contradiction,A young boy playing in the grass.,The boy is in the sand.
167,neutral,Two men playing baseball with the one in the black and red jersey running toward base.,The man in black and red is about to score the winning run.
168,entailment,Two men playing baseball with the one in the black and red jersey running toward base.,There is a baseball game going on.
169,contradiction,Two men playing baseball with the one in the black and red jersey running toward base.,The man in black and red is sitting in the bleachers.
170,neutral,A man and a woman are looking at produce on display.,A man and women are staring at heads of lettuce.
171,contradiction,A man and a woman are looking at produce on display.,Two men throw produce at each other for fun.
172,entailment,A man and a woman are looking at produce on display.,A man and woman are looking at produce.
173,contradiction,People are throwing tomatoes at each other.,The people are sitting and eating their food.
174,neutral,People are throwing tomatoes at each other.,The men are covered in tomatoes.
175,entailment,People are throwing tomatoes at each other.,The people are having a food fight.
176,entailment,People standing in line of a beer and curry line.,People standing in line
177,neutral,People standing in line of a beer and curry line.,People happily standing in line
178,contradiction,People standing in line of a beer and curry line.,People not standing in line
179,contradiction,A man and a woman are talking in a park,A man and woman are talking in the aquarium.
180,neutral,A man and a woman are talking in a park,The couple discuss their financial future in the park.
181,entailment,A man and a woman are talking in a park,A pair of people are talking outdoors.
182,contradiction,A small ice cream stand with two people standing near it.,Two people selling ice cream from a car.
183,entailment,A small ice cream stand with two people standing near it.,Two people standing outside an ice cream stand.
184,neutral,A small ice cream stand with two people standing near it.,Two people in line to buy icecream.
185,contradiction,Number 916 is hoping that he is going to win the race.,A person is is playing baseball.
186,neutral,Number 916 is hoping that he is going to win the race.,A person is betting that he will win  the race.
187,entailment,Number 916 is hoping that he is going to win the race.,A person is competing in a race.
188,contradiction,Girl plays with colorful letters on the floor.,The girl is playing a video game in the bath.
189,neutral,Girl plays with colorful letters on the floor.,The girl is spelling out her favorite words with colored letters.
190,entailment,Girl plays with colorful letters on the floor.,The girl is having fun learning her letters.
191,entailment,Two men are cooking food together on the corner of the street.,The men are making something to eat.
192,neutral,Two men are cooking food together on the corner of the street.,The two men are cooking food for the block party.
193,contradiction,Two men are cooking food together on the corner of the street.,The two men are running in a race.
194,contradiction,A man wandering in the desert as the clouds roll in.,A man fights dead mummy's who magically came alive in the desert.
195,entailment,A man wandering in the desert as the clouds roll in.,A man wonders in the desert.
196,neutral,A man wandering in the desert as the clouds roll in.,A man and a camel wonder in the desert.
197,contradiction,A lady with bright orange hair walking in a crowd.,The woman is asleep.
198,entailment,A lady with bright orange hair walking in a crowd.,A woman is near a group of people.
199,contradiction,A lady with bright orange hair walking in a crowd.,The street performer is entertaining the tourists.
200,neutral,"A white-haired man with a mustache and glasses in a business suit stands outside at a podium marked with the seal of the US House of Representatives, surrounded by many people, with a columned building behind him.",The man is getting ready to speak.
201,contradiction,"A white-haired man with a mustache and glasses in a business suit stands outside at a podium marked with the seal of the US House of Representatives, surrounded by many people, with a columned building behind him.",The man is sitting in a chair inside.
202,contradiction,A man running a marathon talks to his friend.,There are people canoeing down a river.
203,entailment,A man running a marathon talks to his friend.,There is a man running.
204,neutral,A man running a marathon talks to his friend.,A man and his friend are running a marathon together.
205,contradiction,A lot of people walking outside a row of shops with an older man with his hands in his pocket is closer to the camera.,A lot of dogs barking outside a row of shops with a cat teasing them.
206,entailment,A lot of people walking outside a row of shops with an older man with his hands in his pocket is closer to the camera.,A lot of people walking outside a row of shops with a man with hands in his pockets.
207,neutral,A lot of people walking outside a row of shops with an older man with his hands in his pocket is closer to the camera.,People are looking through the shops for stuff to buy.
208,contradiction,A barefooted adolescent boy in a yellow shirt reaching the top of a small skateboarding ramp.,the boy is flying a helicopter
209,neutral,A barefooted adolescent boy in a yellow shirt reaching the top of a small skateboarding ramp.,the boy is five
210,entailment,A barefooted adolescent boy in a yellow shirt reaching the top of a small skateboarding ramp.,a boy is barefooted
211,contradiction,A man waterskies with a life jacket.,Hitler rides a jetski in this Kawasaki advertisement.
212,neutral,A man waterskies with a life jacket.,A lifeguard races across the water.
213,neutral,A man waterskies with a life jacket.,The man is enjoying the ocean.
214,contradiction,A group of children enjoy their time on the beach.,A group of adults are swimming at the beach.
215,neutral,A group of children enjoy their time on the beach.,Children are swimming at the beach.
216,entailment,A group of children enjoy their time on the beach.,Children are at the beach.
217,neutral,A group of people sit on benches at a park outside a building.,The people sit together.
218,neutral,A group of people sit on benches at a park outside a building.,The people wait for the bus to come.
219,entailment,"A small baby, possibly a newborn is being bathed by a person in blue scrubs wearing protective gloves.",Someone is helping bathe the small baby.
220,neutral,"A small baby, possibly a newborn is being bathed by a person in blue scrubs wearing protective gloves.",The person bathing the small baby is the mother.
221,contradiction,"A small baby, possibly a newborn is being bathed by a person in blue scrubs wearing protective gloves.",The small baby is in it's crib sound asleep.
222,entailment,An asian woman sitting outside an outdoor market stall.,A woman sits outdoors.
223,neutral,An asian woman sitting outside an outdoor market stall.,A woman is selling stuff in a flea market.
224,contradiction,An asian woman sitting outside an outdoor market stall.,A woman sitting in an indoor market.
225,contradiction,An older gentleman enjoys a scenic stroll through the countryside.,A pirate boards the spaceship.
226,neutral,An older gentleman enjoys a scenic stroll through the countryside.,An old man searches for a good place to die.
227,entailment,An older gentleman enjoys a scenic stroll through the countryside.,A man walks the countryside.
228,entailment,A middle-aged man is sitting indian style outside holding a folded paper in his hands.,A middle aged man is outdoors.
229,neutral,A middle-aged man is sitting indian style outside holding a folded paper in his hands.,A middle aged man is showing off his origami creation.
230,contradiction,A middle-aged man is sitting indian style outside holding a folded paper in his hands.,A middle aged man is sitting on a stool in a bar.
231,contradiction,Number 13 kicks a soccer ball towards the goal during children's soccer game.,A player passing the ball in a soccer game.
232,entailment,Number 13 kicks a soccer ball towards the goal during children's soccer game.,A player trying to score in a soccer game.
233,contradiction,Number 13 kicks a soccer ball towards the goal during children's soccer game.,A player fighting in a soccer game.
234,neutral,A nun uses her camera to take a photo of an interesting site.,A nun using her camera to take pictures of various things outdoors.
235,neutral,A nun uses her camera to take a photo of an interesting site.,A nun taking photos of a interesting site outside.
236,contradiction,A nun uses her camera to take a photo of an interesting site.,A nun on her knees praying by a statue.
237,contradiction,A man sits in a chair on the sidewalk in front of a huge display of brightly colored artwork.,The man was watching tv
238,entailment,A man sits in a chair on the sidewalk in front of a huge display of brightly colored artwork.,A man sits in a chair on the sidewalk in front of a huge display of brightly colored artwork
239,neutral,A man sits in a chair on the sidewalk in front of a huge display of brightly colored artwork.,The man was selling the artwork
240,neutral,A young child is jumping into the arms of a woman wearing a black swimming suit while in a pool.,Mother catching her son in a pool.
241,contradiction,A young child is jumping into the arms of a woman wearing a black swimming suit while in a pool.,Mother and daughter shopping for shoes.
242,entailment,A young child is jumping into the arms of a woman wearing a black swimming suit while in a pool.,Child leaping into arms of a woman wearing swimsuit in a pool.
243,contradiction,A guy waxing a wooden floor with wax.,the guy is dead
244,entailment,A guy waxing a wooden floor with wax.,a guy is waxing
245,neutral,A guy waxing a wooden floor with wax.,the guy is paid
246,entailment,This is the image of two Asian men squatting near a mop-pad.,This picture is of two Asian men.
247,entailment,This is the image of two Asian men squatting near a mop-pad.,Two young asian men are squatting.
248,contradiction,This is the image of two Asian men squatting near a mop-pad.,Two italian girls are squatting.
249,neutral,A man uses a projector to give a presentation.,A man is giving a presentation in front of a large crowd.
250,contradiction,A man uses a projector to give a presentation.,A man is using a projector to watch television.
251,entailment,A man uses a projector to give a presentation.,A man is giving a presentation.
252,contradiction,An older gentleman speaking at a podium.,A little girl in a spelling bee
253,neutral,An older gentleman speaking at a podium.,A man giving a speech
254,neutral,An older gentleman speaking at a podium.,The college dean giving the graduation speech
255,contradiction,A young barefoot girl in a pink dress is jumping outside.,The child sits in a dark room watching television.
256,neutral,A young barefoot girl in a pink dress is jumping outside.,A little girl is playing jump rope.
257,entailment,A young barefoot girl in a pink dress is jumping outside.,A child is playing.
258,neutral,Four guys with guns and army gear.,The four guys are in the army.
259,entailment,Four guys with guns and army gear.,The guys have guns.
260,contradiction,Four guys with guns and army gear.,The four guys are playing hopscotch.
261,entailment,A man is a safety suit walking outside while another man in a dark suit walks into a building.,There are two men walking outside.
262,entailment,A man is a safety suit walking outside while another man in a dark suit walks into a building.,Men are walking  in different directions.
263,contradiction,A man is a safety suit walking outside while another man in a dark suit walks into a building.,Men are sitting in the park.
264,neutral,A man poses for a photo in front of a Chinese building by jumping.,The man has experience in taking photos.
265,contradiction,A man poses for a photo in front of a Chinese building by jumping.,The man is dancing around the building.
266,entailment,A man poses for a photo in front of a Chinese building by jumping.,The man is prepared for his photo.
267,entailment,A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a black late model station wagon in the background.,A black late model station wagon is in the background.
268,contradiction,A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a black late model station wagon in the background.,A white late model station wagon is in the background.
269,entailment,A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a black late model station wagon in the background.,A light black late model station wagon is in the background.
270,contradiction,A boy looks surly as his father looks at the camera.,a girl looks at her father
271,entailment,A boy looks surly as his father looks at the camera.,a boy looks at his farther
272,neutral,A boy looks surly as his father looks at the camera.,a younger boy looks at his father
273,neutral,A boy in red slides down an inflatable ride.,A boy rolls around an inflatable ride.
274,entailment,A boy in red slides down an inflatable ride.,A boy is playing on an inflatable ride.
275,contradiction,A boy in red slides down an inflatable ride.,A boy pierces a knife through an inflatable ride.
276,entailment,A man is reading a newspaper in a car dealership.,A man is at a car dealership.
277,neutral,A man is reading a newspaper in a car dealership.,The man is waiting for his car to be serviced.
278,contradiction,A man is reading a newspaper in a car dealership.,A man is reading a magazine at the hospital.
279,neutral,"Two male police officers on patrol, wearing the normal gear and bright green reflective shirts.",The two officers have gotten a call about a fight.
280,contradiction,"Two male police officers on patrol, wearing the normal gear and bright green reflective shirts.",The officers have shot an unarmed black man and will not go to prison for it.
281,neutral,A carefully balanced male stands on one foot near a clean ocean beach area.,A man stands on one foot with his wife near the beach.
282,entailment,A carefully balanced male stands on one foot near a clean ocean beach area.,A man is ouside near the beach.
283,contradiction,A carefully balanced male stands on one foot near a clean ocean beach area.,A man is sitting on his couch.
284,entailment,A man wearing a white shirt is playing the drums.,A man is playing a musical instrument.
285,contradiction,A man wearing a white shirt is playing the drums.,A man is playing the trumpet with his hands tied behind his back.
286,neutral,A man wearing a white shirt is playing the drums.,A man in a band is playing the drums.
287,entailment,Three women in dress suits walk by a building.,Three women are traveling by foot.
288,neutral,Three women in dress suits walk by a building.,The suits are gray.
289,contradiction,Three women in dress suits walk by a building.,The woman are wearing bikinis.
290,entailment,two people are waiting for a train at a station.,They expect a train to arrive eventually.
291,contradiction,two people are waiting for a train at a station.,They are both waiting for a bus.
292,neutral,two people are waiting for a train at a station.,They will both get onto the same train together.
293,entailment,A man in a black shirt is smiling at a woman in a black shirt what a tattoo and a eye brow ring.,A man is smiling at a woman.
294,neutral,A man in a black shirt is smiling at a woman in a black shirt what a tattoo and a eye brow ring.,A man is smiling at his wife.
295,contradiction,A man in a black shirt is smiling at a woman in a black shirt what a tattoo and a eye brow ring.,A man is reading a book alone.
296,entailment,A goalie in white runs for an approaching ball while the opponent in red who kicked it waits.,A person wearing white is running towards a ball that was kicked from another person.
297,neutral,A goalie in white runs for an approaching ball while the opponent in red who kicked it waits.,The goalie is running out to catch the ball before it passes him into the goal.
298,contradiction,A goalie in white runs for an approaching ball while the opponent in red who kicked it waits.,The goalie is sleeping at home.
299,contradiction,"Two men sitting on a subway are reading, with coats and scarves on, but have seemed to have lost their pants.",There are women on the subway.
300,entailment,"Two men sitting on a subway are reading, with coats and scarves on, but have seemed to have lost their pants.",There are people on the subway.
301,contradiction,"Two men sitting on a subway are reading, with coats and scarves on, but have seemed to have lost their pants.",The men are wearing pants.
302,neutral,kids drawing something on paper,The kids are drawing pictures of animals.
303,entailment,kids drawing something on paper,There are kids drawing.
304,contradiction,kids drawing something on paper,The kids are cutting ribbons.
305,contradiction,A young woman is singing into a microphone.,The woman playing the trumpet.
306,neutral,A young woman is singing into a microphone.,The woman is in a band.
307,entailment,A young woman is singing into a microphone.,The woman is singing.
308,neutral,"Three elephants, each carrying a group of people, walking through the water.",The elephants are part of a jungle tour.
309,contradiction,"Three elephants, each carrying a group of people, walking through the water.",The elephants are performing in a circus tent.
310,entailment,"Three elephants, each carrying a group of people, walking through the water.",Three elephants carry people through the water.
311,neutral,A diver is swimming with a turtle.,A sick turtle is swimming by a diver.
312,contradiction,A diver is swimming with a turtle.,A lion is eating raw meat at the zoo.
313,entailment,A diver is swimming with a turtle.,A turtle has a diver swimming with it.
314,entailment,A man with a beard skateboarding and a boy with a blue and black backpack riding a green bike in the background.,There is a man and a boy outside.
